model,train_lang,test_lang,accuracy,precision_1,recall_1,f1_1
text_audio_concat,en,en,0.8153549807374794,0.35543766578249336,0.23843416370106763,0.2854100106496273
text_audio_cross_attention,en,en,0.7421574023115025,0.2670807453416149,0.38256227758007116,0.3145574250182882
text_only,en,en,0.7938910291689598,0.3064182194616977,0.26334519572953735,0.2832535885167464
text_audio_concat,en,es,0.6912751677852349,0.4765364819860733,0.4914142990945988,0.4838610513372272
text_audio_cross_attention,en,es,0.676289418038062,0.4598078867542973,0.5679050889790821,0.5081715323369186
text_only,en,es,0.6186448469247035,0.39974538510502866,0.588198563846394,0.47599797877716016
text_audio_concat,en,fr,0.6976469148892785,0.3974435789894148,0.31157037732894943,0.3493066526241882
text_audio_cross_attention,en,fr,0.637086578850781,0.35919282511210765,0.5016439643024895,0.41863199843208987
text_only,en,fr,0.658496798662371,0.3609127817443651,0.40363237826835763,0.38107908351810793
text_audio_concat,en,hu,0.6421908315565032,0.37779444861215306,0.3918456271397448,0.3846917729737988
text_audio_cross_attention,en,hu,0.5695184790334044,0.3488005927572474,0.5860566448801743,0.43732218544968937
text_only,en,hu,0.5870646766169154,0.34701492537313433,0.5065359477124183,0.41186891054030117
